
全部,#genre#
湖北综合HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225681/10000100000000060000000000404038_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1eKJOwl0H2tqYBpLUse8HUlD1spHHL14ehiGy5Op6phw=:20221027140837,
湖北垄上HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225678/10000100000000060000000000404044_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1bvVTmK6B2PqITB+Vo/BRwheL/NFCAd0kF1Oyh21dCOk=:20221027140837,
湖北公共HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225687/10000100000000060000000000404034_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1eKJOwl0H2tqYBpLUse8HUoGOSrXDtKzZd4WklXR4n9U=:20221027140837,
湖北影视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226147/10000100000000060000000012157909_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1M5b5Wjr/qt6HpaBrAf2++4GOSrXDtKzZd4WklXR4n9U=:20221027140837,
湖北教育HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226121/10000100000000060000000012157908_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1c7JWqJl6EfFmz6PU/fxm+VD1spHHL14ehiGy5Op6phw=:20221027140837,
湖北生活HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226122/10000100000000060000000012157910_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1c7JWqJl6EfFmz6PU/fxm+dj4QV0kTukr7QVhRERY1Ac=:20221027140837,
武汉生活HD,rtsp://122.191.50.135/PLTV/88888888/224/3221226166/10000100000000060000000013617561_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1J57hAJMI+yHwUzbBwFIk6kG1BIf7qH77pOX07AAAgDw=:20221027140837,
湖北卫视,rtsp://122.191.50.135/PLTV/88888888/224/3221226183/10000100000000060000000013243110_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1i0IgqQFUosrmR3bSiPYTS9Uz1KGUp3zp4HERJD1UA2w=:20221027140837,
湖南卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225561/10000100000000060000000000007637_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1+nnCydyUOiDSrr0790FaV1D1spHHL14ehiGy5Op6phw=:20221027140837,
浙江卫视HD,rtsp://122.191.50.135/PLTV/88888888/224/3221225573/10000100000000060000000000015621_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=YzciLOiHwWbmRgUSxz3e6hCi4lpeRMrSXWoxkGwRp/oI1F9vGlsQSuAJ8Hw05Yj+D1kthYaaS45ZirkZ0k8jCqcXB7NUqJ6Dq7wCHkM4Pg1WoBzh00lAt8RUk6zlS4f1NgbeeyvI3WCfohYC5vCJ0tUz1KGUp3zp4HERJD1UA2w=:20221027140837,
